Row,CMPP,RPPV,TIME_1900,RCPP,SOLSTATE,EMA
507385,3.122319,722.1984,44194.792422333,4.222319,0,722.1984
507402,3.123618,700.9573,44194.792434925,4.223618,0,700.9573
507419,3.123618,700.9573,44194.792447519,4.223618,0,700.9573
507436,3.123618,700.9573,44194.792460111,4.223618,0,700.9573
507453,3.123618,700.9573,44194.792472702,4.223618,0,700.9573
507470,3.123618,700.9573,44194.792485296,4.223618,0,700.9573
507487,3.123618,700.9573,44194.792497888,4.223618,0,700.9573
507504,3.122319,679.7162,44194.792510482,4.222319,0,679.7162
507521,3.124921,679.7162,44194.792523073,4.224921,0,679.7162
507538,3.123618,679.7162,44194.792535665,4.223618,0,679.7162
507555,3.124921,679.7162,44194.792548259,4.224921,0,679.7162
507572,3.123618,679.7162,44194.792560851,4.223618,0,679.7162
507589,3.123618,679.7162,44194.792573445,4.223618,0,679.7162
507606,3.124921,679.7162,44194.792586037,4.224921,0,679.7162
507623,3.123618,658.4751,44194.792598628,4.223618,0,658.4751
507640,3.123618,658.4751,44194.792611222,4.223618,0,658.4751
507657,3.123618,658.4751,44194.792623814,4.223618,0,658.4751
507674,3.124921,658.4751,44194.792636408,4.224921,0,658.4751
507691,3.124921,658.4751,44194.792649000,4.224921,0,658.4751
507708,3.123618,658.4751,44194.792661591,4.223618,0,658.4751
507725,3.124921,637.2339,44194.792674185,4.224921,0,637.2339
507742,3.123618,637.2339,44194.792686777,4.223618,0,637.2339
507759,3.124921,637.2339,44194.792699371,4.224921,0,637.2339
507776,3.124921,637.2339,44194.792711963,4.224921,0,637.2339
507793,3.123618,637.2339,44194.792724554,4.223618,0,637.2339
507810,3.124921,637.2339,44194.792737148,4.224921,0,637.2339
507827,3.123618,637.2339,44194.792749740,4.223618,0,637.2339
507844,3.124921,615.9929,44194.792762334,4.224921,0,615.9929
507861,3.123618,615.9929,44194.792774925,4.223618,0,615.9929
507878,3.123618,615.9929,44194.792787517,4.223618,0,615.9929
507895,3.124921,615.9929,44194.792800111,4.224921,0,615.9929
507912,3.123618,615.9929,44194.792812703,4.223618,0,615.9929
507929,3.124921,615.9929,44194.792825297,4.224921,0,615.9929
507946,3.123618,594.7516,44194.792837888,4.223618,0,594.7516
507963,3.124921,594.7516,44194.792850480,4.224921,0,594.7516
507980,3.123618,594.7516,44194.792863074,4.223618,0,594.7516
507997,3.123618,594.7516,44194.792875666,4.223618,0,594.7516
508014,3.124921,594.7516,44194.792888258,4.224921,0,594.7516
508031,3.123618,594.7516,44194.792900851,4.223618,0,594.7516
508048,3.124921,573.5106,44194.792913443,4.224921,0,573.5106
508065,3.123618,573.5106,44194.792926037,4.223618,0,573.5106
508082,3.124921,573.5106,44194.792938629,4.224921,0,573.5106
508099,3.123618,573.5106,44194.792951222,4.223618,0,573.5106
508116,3.124921,573.5106,44194.792963814,4.224921,0,573.5106
508133,3.124921,573.5106,44194.792976406,4.224921,0,573.5106
508150,3.123618,552.2693,44194.792989000,4.223618,0,552.2693
508167,3.124921,552.2693,44194.793001592,4.224921,0,552.2693
508184,3.124921,552.2693,44194.793014185,4.224921,0,552.2693
508201,3.124921,552.2693,44194.793026777,4.224921,0,552.2693
508218,3.124921,552.2693,44194.793039369,4.224921,0,552.2693
508235,3.123618,552.2693,44194.793051963,4.223618,0,552.2693
508252,3.124921,531.0283,44194.793064555,4.224921,0,531.0283
508269,3.123618,531.0283,44194.793077147,4.223618,0,531.0283
508286,3.124921,531.0283,44194.793089740,4.224921,0,531.0283
508303,3.124921,531.0283,44194.793102332,4.224921,0,531.0283
508320,3.124921,531.0283,44194.793114926,4.224921,0,531.0283
508337,3.124921,531.0283,44194.793127518,4.224921,0,531.0283
508354,3.124921,509.7872,44194.793140110,4.224921,0,509.7872
508371,3.124921,509.7872,44194.793152703,4.224921,0,509.7872
508388,3.124921,509.7872,44194.793165295,4.224921,0,509.7872
508405,3.124921,509.7872,44194.793177889,4.224921,0,509.7872
508422,3.124921,509.7872,44194.793190481,4.224921,0,509.7872
508439,3.124921,509.7872,44194.793203073,4.224921,0,509.7872
508456,3.124921,509.7872,44194.793215666,4.224921,0,509.7872
508473,3.123618,509.7872,44194.793228258,4.223618,0,509.7872
508490,3.124921,488.546,44194.793240852,4.224921,0,488.546
508507,3.124921,488.546,44194.793253444,4.224921,0,488.546
508524,3.124921,488.546,44194.793266036,4.224921,0,488.546
508541,3.124921,488.546,44194.793278629,4.224921,0,488.546
508558,3.124921,488.546,44194.793291221,4.224921,0,488.546
508575,3.124921,488.546,44194.793303815,4.224921,0,488.546
508592,3.124921,488.546,44194.793316407,4.224921,0,488.546
508609,3.126221,467.3049,44194.793328999,4.226221,0,467.3049
508626,3.126221,467.3049,44194.793341592,4.226221,0,467.3049
508643,3.12752,467.3049,44194.793354184,4.22752,0,467.3049
508660,3.126221,467.3049,44194.793366778,4.226221,0,467.3049
508677,3.126221,467.3049,44194.793379370,4.226221,0,467.3049
508694,3.126221,467.3049,44194.793391961,4.226221,0,467.3049
508711,3.126221,467.3049,44194.793404555,4.226221,0,467.3049
508728,3.126221,467.3049,44194.793417147,4.226221,0,467.3049
508745,3.126221,467.3049,44194.793429741,4.226221,0,467.3049
508762,3.124921,446.0637,44194.793442333,4.224921,0,446.0637
508779,3.126221,446.0637,44194.793454925,4.226221,0,446.0637
508796,3.126221,446.0637,44194.793467518,4.226221,0,446.0637
508813,3.12752,446.0637,44194.793480110,4.22752,0,446.0637
508830,3.126221,446.0637,44194.793492704,4.226221,0,446.0637
508847,3.126221,446.0637,44194.793505296,4.226221,0,446.0637
508864,3.126221,446.0637,44194.793517887,4.226221,0,446.0637
508881,3.12752,446.0637,44194.793530481,4.22752,0,446.0637
508898,3.12752,424.8227,44194.793543073,4.22752,0,424.8227
508915,3.126221,424.8227,44194.793555667,4.226221,0,424.8227
508932,3.12752,424.8227,44194.793568259,4.22752,0,424.8227
508949,3.126221,424.8227,44194.793580850,4.226221,0,424.8227
508966,3.12752,424.8227,44194.793593444,4.22752,0,424.8227
508983,3.126221,424.8227,44194.793606036,4.226221,0,424.8227
509000,3.126221,424.8227,44194.793618630,4.226221,0,424.8227
509017,3.12752,424.8227,44194.793631222,4.22752,0,424.8227
509034,3.126221,424.8227,44194.793643813,4.226221,0,424.8227
509051,3.12752,424.8227,44194.793656407,4.22752,0,424.8227
509068,3.126221,403.5816,44194.793668999,4.226221,0,403.5816
509085,3.12752,403.5816,44194.793681593,4.22752,0,403.5816
509102,3.126221,403.5816,44194.793694185,4.226221,0,403.5816
509119,3.126221,403.5816,44194.793706776,4.226221,0,403.5816
509136,3.12752,403.5816,44194.793719370,4.22752,0,403.5816
509153,3.126221,403.5816,44194.793731962,4.226221,0,403.5816
509170,3.12752,403.5816,44194.793744556,4.22752,0,403.5816
509187,3.126221,403.5816,44194.793757147,4.226221,0,403.5816
509204,3.126221,403.5816,44194.793769739,4.226221,0,403.5816
509221,3.126221,403.5816,44194.793782333,4.226221,0,403.5816
509238,3.126221,382.3404,44194.793794925,4.226221,0,382.3404
509255,3.12752,382.3404,44194.793807519,4.22752,0,382.3404
509272,3.126221,382.3404,44194.793820110,4.226221,0,382.3404
509289,3.12752,382.3404,44194.793832702,4.22752,0,382.3404
509306,3.12752,382.3404,44194.793845296,4.22752,0,382.3404
509323,3.12752,382.3404,44194.793857888,4.22752,0,382.3404
509340,3.12752,382.3404,44194.793870482,4.22752,0,382.3404
509357,3.126221,382.3404,44194.793883073,4.226221,0,382.3404
509374,3.12752,382.3404,44194.793895665,4.22752,0,382.3404
509391,3.126221,382.3404,44194.793908259,4.226221,0,382.3404
509408,3.12752,382.3404,44194.793920851,4.22752,0,382.3404
509425,3.12752,361.0992,44194.793933445,4.22752,0,361.0992
509442,3.126221,361.0992,44194.793946036,4.226221,0,361.0992
509459,3.12752,361.0992,44194.793958628,4.22752,0,361.0992
509476,3.12752,361.0992,44194.793971222,4.22752,0,361.0992
509493,3.12752,361.0992,44194.793983814,4.22752,0,361.0992
509510,3.12752,361.0992,44194.793996408,4.22752,0,361.0992
509527,3.12752,361.0992,44194.794008999,4.22752,0,361.0992
509544,3.12752,361.0992,44194.794021591,4.22752,0,361.0992
509561,3.126221,361.0992,44194.794034185,4.226221,0,361.0992
509578,3.12752,361.0992,44194.794046777,4.22752,0,361.0992
509595,3.12752,361.0992,44194.794059370,4.22752,0,361.0992
509612,3.12752,361.0992,44194.794071962,4.22752,0,361.0992
509629,3.12752,339.8581,44194.794084554,4.22752,0,339.8581
509646,3.12752,339.8581,44194.794097148,4.22752,0,339.8581
509663,3.12752,339.8581,44194.794109740,4.22752,0,339.8581
509680,3.126221,339.8581,44194.794122334,4.226221,0,339.8581
509697,3.12752,339.8581,44194.794134925,4.22752,0,339.8581
509714,3.12752,339.8581,44194.794147517,4.22752,0,339.8581
509731,3.12752,339.8581,44194.794160111,4.22752,0,339.8581
509748,3.126221,339.8581,44194.794172703,4.226221,0,339.8581
509765,3.12752,339.8581,44194.794185296,4.22752,0,339.8581
509782,3.12752,339.8581,44194.794197888,4.22752,0,339.8581
509799,3.12752,339.8581,44194.794210480,4.22752,0,339.8581
509816,3.12752,339.8581,44194.794223074,4.22752,0,339.8581
509833,3.12752,339.8581,44194.794235666,4.22752,0,339.8581
509850,3.12752,318.617,44194.794248259,4.22752,0,318.617
509867,3.12752,318.617,44194.794260851,4.22752,0,318.617
509884,3.126221,318.617,44194.794273443,4.226221,0,318.617
509901,3.12752,318.617,44194.794286037,4.22752,0,318.617
509918,3.126221,318.617,44194.794298629,4.226221,0,318.617
509935,3.12752,318.617,44194.794311222,4.22752,0,318.617
509952,3.126221,318.617,44194.794323814,4.226221,0,318.617
509969,3.126221,318.617,44194.794336406,4.226221,0,318.617
509986,3.12752,318.617,44194.794349000,4.22752,0,318.617
510003,3.12752,318.617,44194.794361592,4.22752,0,318.617
510020,3.12752,318.617,44194.794374185,4.22752,0,318.617
510037,3.12752,318.617,44194.794386777,4.22752,0,318.617
510054,3.12752,318.617,44194.794399369,4.22752,0,318.617
510071,3.12752,318.617,44194.794411963,4.22752,0,318.617
510088,3.126221,297.3758,44194.794424555,4.226221,0,297.3758
510105,3.12752,297.3758,44194.794437148,4.22752,0,297.3758
510122,3.126221,297.3758,44194.794449740,4.226221,0,297.3758
510139,3.12752,297.3758,44194.794462332,4.22752,0,297.3758
510156,3.126221,297.3758,44194.794474926,4.226221,0,297.3758
510173,3.12752,297.3758,44194.794487518,4.22752,0,297.3758
510190,3.12752,297.3758,44194.794500111,4.22752,0,297.3758
510207,3.126221,297.3758,44194.794512703,4.226221,0,297.3758
510224,3.128823,297.3758,44194.794525295,4.228823,0,297.3758
510241,3.126221,297.3758,44194.794537889,4.226221,0,297.3758
