Row,CMPP,RPPV,TIME_1900,RCPP,SOLSTATE
503403,3.109311,4184.503,44194.789472703,4.209311,17
503404,3.11061,4184.503,44194.789473444,4.21061,17
503405,3.11061,4184.503,44194.789474184,4.21061,17
503406,3.109311,4184.503,44194.789474926,4.209311,17
503407,3.109311,4184.503,44194.789475665,4.209311,17
503408,3.11061,4184.503,44194.789476407,4.21061,17
503409,3.109311,4184.503,44194.789477147,4.209311,17
503410,3.109311,4184.503,44194.789477888,4.209311,17
503411,3.11061,4184.503,44194.789478630,4.21061,17
503412,3.109311,4184.503,44194.789479369,4.209311,17
503413,3.11061,4184.503,44194.789480111,4.21061,17
503414,3.11061,4184.503,44194.789480851,4.21061,17
503415,3.109311,4184.503,44194.789481592,4.209311,17
503416,3.108008,4184.503,44194.789482332,4.208008,0
503417,3.108008,3759.68,44194.789483074,4.208008,0
503418,3.108008,3929.609,44194.789483813,4.208008,0
503419,3.106709,4205.744,44194.789484555,4.206709,0
503420,3.108008,4248.227,44194.789485296,4.208008,0
503421,3.108008,4226.985,44194.789486036,4.208008,0
503422,3.11061,2612.659,44194.789486778,4.21061,0
503423,3.111909,2612.659,44194.789487517,4.211909,0
503424,3.111909,2612.659,44194.789488259,4.211909,0
503425,3.11061,2612.659,44194.789488999,4.21061,0
503426,3.111909,2612.659,44194.789489740,4.211909,0
503427,3.111909,2612.659,44194.789490480,4.211909,0
503428,3.11061,2612.659,44194.789491222,4.21061,0
503429,3.111909,2612.659,44194.789491963,4.211909,0
503430,3.111909,2633.9,44194.789492703,4.211909,0
503431,3.11061,2612.659,44194.789493444,4.21061,0
503432,3.111909,2612.659,44194.789494184,4.211909,0
503433,3.111909,2612.659,44194.789494926,4.211909,0
503434,3.11061,2612.659,44194.789495665,4.21061,0
503435,3.111909,2612.659,44194.789496407,4.211909,0
503436,3.111909,2612.659,44194.789497147,4.211909,0
503437,3.11061,2612.659,44194.789497888,4.21061,0
503438,3.111909,2612.659,44194.789498630,4.211909,0
503439,3.111909,2612.659,44194.789499370,4.211909,0
503440,3.111909,2612.659,44194.789500111,4.211909,0
503441,3.11061,2612.659,44194.789500851,4.21061,0
503442,3.111909,2612.659,44194.789501592,4.211909,0
503443,3.111909,2612.659,44194.789502332,4.211909,0
503444,3.111909,2612.659,44194.789503074,4.211909,0
503445,3.111909,2612.659,44194.789503813,4.211909,0
503446,3.111909,2612.659,44194.789504555,4.211909,0
503447,3.111909,2612.659,44194.789505297,4.211909,0
503448,3.111909,2612.659,44194.789506036,4.211909,0
503449,3.111909,2612.659,44194.789506778,4.211909,0
503450,3.11061,2612.659,44194.789507518,4.21061,0
503451,3.111909,2612.659,44194.789508259,4.211909,0
503452,3.111909,2612.659,44194.789508999,4.211909,0
503453,3.11061,2612.659,44194.789509740,4.21061,0
503454,3.111909,2612.659,44194.789510480,4.211909,0
503455,3.111909,2591.418,44194.789511222,4.211909,0
503456,3.11061,2591.418,44194.789511963,4.21061,0
503457,3.111909,2591.418,44194.789512703,4.211909,0
503458,3.111909,2591.418,44194.789513445,4.211909,0
503459,3.11061,2591.418,44194.789514184,4.21061,0
